"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3RXUTRSM","book","1982","Sábato, J. A.; Mackenzie, M.","La producción de tecnología. Autónoma o transnacional","","968-429-348-8","","","https://repositorio.esocite.la/640/","Después de la Segunda Guerra Mundial, la producción de tecnología se convirtió en una actividad especializada, continua y profesional, llevada a cabo por fábricas o empresas de tecnología. Las primeras son unidades ubicadas al interior de compañías que compiten con base en la creación tecnológica, y reciben el nombre de ""Centros de Investigación y Desarrollo"". Las segundas son corporaciones fundadas con el objetivo de generar tecnología, no con la intención de emplearla en beneficio propio, sino de venderla en el mercado mundial como cualquier otro producto o servicio, y obtener una ganancia importante al hacerlo. De esta manera, la tecnología no es ""un bien para la liberación de la humanidad"" como utópicamente se le ha considerado en los países de América Latina, sino una mercancía con valor de uso y valor de cambio, que se produce de forma metódica y racional con fines capitalistas de lucro. Esta mercancía emana de un proceso de ""tangibilizción"" de conocimientos, cuyo resultado son objetos susceptibles de aplicación productiva (ej. bienes de capital), así como documentos técnicos que ilustran su operación en campo (ej. dibujos, diagramas, especificaciones, manuales, etcétera). En este sentido, la tecnología se convierte en un ""paquete de conocimientos organizados de distintas clases (científico, técnico, empírico, etc.) provenientes de diversas fuentes (descubrimientos científicos, otras tecnologías, libros, manuales, patentes, etc.) a través de métodos diferentes (investigación, desarrollo, adaptación, copia, espionaje, expertos, etc."" (página 25). Considerando el contexto previo, en este libro los autores detallan la lógica de producción y utilización de la ""mercancía-tecnología"" -denominada ""paquete tecnológico""-, al tiempo que plantean recomendaciones para que las unidades de negocio lationoamericanas puedan competir conforme a las formas económicas descritas.","1982","2024-07-05 14:33:59","2024-07-05T14:33:59Z","","","296","","","","","La producción de tecnología","","","","","Editorial Nueva Imagen","Ciudad de México, México","es","Todos los derechos reservados","","","","","","","","","","Análisis costo-beneficio; Aprendizaje organizacional; Asimilación tecnológica; Capacidad tecnológica; I + D; Información tecnológica; Innovación; Política tecnológica; Transferencia de tecnología","","","","","","","","","","","","","","","","","","","","","1a.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LW37WSUK","encyclopediaArticle","2023","Wikipedia contributors","Murray Goldberg","Wikipedia, The Free Encyclopedia","","","","https://en.wikipedia.org/wiki/Murray_Goldberg","Biography of Murray Goldberg, a canadian programmer and entrepreneur that developed ""WebCT"" (Web-based Course Tools) in 1995, This Web platform is considered to be the first Virtual Learning Environment (VLE) ever created. Nowadays, a VLE is better known as a LMS (Learning Management System).","2023-04-18","2024-07-03 05:33:15","2024-07-03T05:33:15Z","2024-07-03 00:00:00","","","","","","","","","","","","Wikimedia Foundation","","en","Creative Commons Attribution-ShareAlike 4.0 International","","","","","","Licencia: https://creativecommons.org/licenses/by-sa/4.0/","","","","Casos de estudio; Casos de éxito; Emprendedores","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRSMHIRM","book","2013","Harvard Business Review","HBR's 10 must reads on innovation","","978-1-4221-8985-6","","","https://store.hbr.org/product/hbr-s-10-must-reads-on-innovation-with-featured-article-the-discipline-of-innovation-by-peter-f-drucker/11363","This publication includes the following ten key articles on innovation, selected from the archive of the ""Harvard Business Review"": 1) The innovation catyalyst (Roger L. Martin) 2) Stop the innovation wars (Vijay Govindarajan, Chris Trimble) 3) How GE is disrupting itself (Jeffrey R. Immelt, Vijay Govindarajan, Chris Trimble) 4) The customer-centered innovation map (Lance A. Bettencourt, Anthony W. Ulwick) 5) Is it real? Can we win? Is it worth doing? (George S. Day) 6) Six myths of product development (Stephan Thomke, Donald Reinertsen) 7) Innovation: the classic traps (Rosabeth Moss Kanter) 8) Discovery-driven planning (Rita Gunther McGrath, Ian C. MacMillan) 9) The discipline of innovation (Peter F. Drucker) 10) Innovation killers (Clayton M. Christensen, Stephen P. Kaufman, Willy C. Shih)","2013","2024-06-29 07:00:41","2024-06-29T07:00:41Z","","","179","","","","","On innovation","HBR's 10 must reads","","","","Harvard Business Review Press","Boston, Massachusetts, United States of America","en","All rights reserved","","","","","","https://lccn.loc.gov/2012045970","","","","Emprendimiento; Estrategia; Gerencia; Gestión de empresas; Innovación","","","","","","","","","","","","","","","","","","","","","1st.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4D5CAUQ","book","1995","Nonaka, I.; Takeuchi, H.","The knowledge-creating company. How japanese companies create the dynamics of innovation","","0-19-509269-4","","","https://global.oup.com/academic/product/the-knowledge-creating-company-9780195092691","","1995","2024-06-24 23:41:37","2024-06-24T23:41:37Z","","","284","","","","","The knowledge-creating company","","","","","Oxford University Press","United States of America","en","All rights reserved","","","","","","https://lccn.loc.gov/94040408","","","","Activos de conocimiento; Activos tecnológicos; Aprendizaje organizacional; Gestión de la innovación; Gestión del conocimiento; Información tecnológica; Innovación","","","","","","","","","","","","","","","","","","","","","1st.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X3A2NBMB","book","1999","Choo, C. W.","La organización inteligente. El empleo de la información para dar significado, crear conocimiento y tomar decisiones","","970-613-447-6","","","https://oupmex.com.mx/libro.asp?id=79","","1999","2024-06-19 16:00:36","2024-06-19T16:00:36Z","","","346","","","","","La organización inteligente","","","","","Oxford University Press","Ciudad de México, México","es","All rights reserved","","","","","","1a. Edición en ingés de 1998.","","","","Aprendizaje organizacional; Información tecnológica; Organizaiones inteligentes","","","","","","","","","","","","","","","","","","","","","1a.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LC88E2U","book","1990","Aït-El-Hadj, Smaïl","Gestión de la tecnlogía. La empresa ante la mutación tecnológica","","84-86703-31-X","","","","En esta publicación se describen los paradigmas tecnológicos empleados por la humanidad para definir sus relaciones de producción e ideales de progreso. Se argumenta que éstos se integran por tres grandes grupos de tecnologías, los cuales se comportan como mallas que se sobreponen unas sobre otras. La ubicada en la parte superior está conformada por ""tecnologías fundamentales"", la de posición intermedia por ""tecnologías genéricas"" y la de nivel inferior por ""tecnologías de aplicación"". Las tecnologías de cada plano no son elementos aislados o independientes, pues cada una interactúa dinámicamente con las otras, dando origen no sólo a nuevos campos de investigación y desarrollo, sino a productos y servicios que serán emblemáticos de cada época. Cuando las tecnologías de los tres niveles ""pierden movimiento"" -es decir, se estancan o agotan- el andamiaje correspondiente es sustituido por uno más evolucionado, surgiendo así una nueva era tecnológica. La mutación tecnológica actual le ha restado vigencia a los modelos de administración empresarial en boga, requiriéndose entonces de una nueva disciplina denominada ""Gestión de tecnología"", motivo de este libro.","1990","2024-06-13 01:59:54","2024-06-13T01:59:54Z","","","256","","","","","Gestión de la tecnlogía","","","","","Ediciones Gestión 2000","Barcelona, España","es","Todos los derechos reservados","","","","","","1a. Edición en francés de 1989.","","","","Cambio tecnológico; Ciclos tecnológicos; Evolución tecnológica; Gestión de empresas; Gestión de tecnología; Paradigmas tecnológicos; Sistemas tecnológicos","","","","","","","","","","","","","","","","","","","","","1a.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"745KCF8Q","book","1986","Giral, J.; González, S.","Estrategia tecnológica integral","","","","","https://rei.iteso.mx/server/api/core/bitstreams/3944a92c-5524-46cf-af2a-277c17cf7428/content","","1986","2024-06-11 03:09:06","2024-06-11T03:09:06Z","","","221","","","","","","","","","","José Giral Barnés","Ciudad de México, México","es","Todos los derechos reservados","","","","","","Publicación independiente","","","","Estrategia; Gerencia; Gestión de empresas; Gestión de la innovación; Gestión de tecnología; Planeación estratégica","","","","","","","","","","","","","","","","","","","","","1a.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3F4KQ3LT","book","2014","Rifkin, J.","The Zero Marginal Cost Society. The Internet of Things, the Collaborative Commons, and the eclipse of Capitalism","","978-1-137-28011-4","","","https://us.macmillan.com/books/9781137280114/the-zero-marginal-cost-society","","2014","2024-06-10 19:13:04","2024-06-10T19:13:04Z","","","435","","","","","The Zero Marginal Cost Society","","","","","St. Martin's Griffin","New York, United States of America","en","All rights reserved","","","","","","https://lccn.loc.gov/2013033940","","","","Cambio tecnológico; Ciclos tecnológicos; Economía de la información; Evolución tecnológica; Paradigmas tecnológicos; Política tecnológica; Sistemas tecnológicos","","","","","","","","","","","","","","","","","","","","","1st.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3MZH86C","book","2011","Rifkin, J.","The Third Industrial Revolution. How lateral power is transforming energy, the economy, and the world","","978-0-230-34197-5","","","https://us.macmillan.com/books/9780230341975/the-third-industrial-revolution","","2011","2024-06-10 19:11:15","2024-06-10T19:11:15Z","","","291","","","","","The Third Industrial Revolution","","","","","St. Martin's Griffin","New York, United States of America","en","All rights reserved","","","","","","https://lccn.loc.gov/2011009609","","","","Cambio tecnológico; Ciclos tecnológicos; Economía de la información; Evolución tecnológica; Paradigmas tecnológicos; Política tecnológica; Sistemas tecnológicos","","","","","","","","","","","","","","","","","","","","","1st.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3FQP22S","book","2001","Burgelman, R. A.; Maidique, M. A.; Wheelwright, S. C.","Strategic management of technology and innovation.","","0-07-231283-1","","","https://www.abebooks.com/9780072312836/Strategic-Management-Technology-Innovation-Robert-0072312831/plp","","2001","2024-06-10 17:25:11","2024-06-10T17:25:11Z","","","990","","","","","","Management & organization","","","","McGraw Hill","Singapore","en","All rights reserved","","","","","","https://lccn.loc.gov/00040689","","","","Gestión de la innovación; Gestión de tecnología","","","","","","","","","","","","","","","","","","","","","3rd.","","","","","","","","","","","","","","","","","","","","","","","","","",""
