"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S9R5VJV2","journalArticle","2006","Baeta, Clarissa; Monteiro, Fabrício","What is complex in the complex world? Niklas Luhmann and the theory of social systems","Sociologias","","1517-4522","","http://socialsciences.scielo.org/scielo.php?script=sci_abstract&pid=S1517-45222006000100004&lng=en&nrm=iso&tlng=es","","2006","2024-02-21 21:55:08","2024-02-21T21:55:08Z","2024-02-21 03:51:05","0-0","","SE","1","","","What is complex in the complex world?","","","","","","","","","","","","socialsciences.scielo.org","","Publisher: Programa de Pós-Graduação em Sociologia - UFRGS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LN6LQEJI","journalArticle","","López-Miranda, Claudia Elisa López","Teoría general de sistemas sociales de Niklas Luhmann: interdisciplinariedad y potencial empírico","SOSTENIBILIDAD Y DESARROLLO HUMANO","","","","https://d1wqtxts1xzle7.cloudfront.net/70073246/Howard_F._Cline_y_la_Guerra_de_Castas-libre.pdf?1632251586=&response-content-disposition=inline%3B+filename%3DHoward_F_Cline_y_la_Guerra_de_Castas.pdf&Expires=1708488719&Signature=CpNLy4qBcEsEf6jBez1KPh-vNTkzPJIdT1SaTO71PEKsyaL5JeiNID0tE8mgMQ7dcDCPUqsqWbReUl2wDcxfSzGoQWad02Ijsow~aCuz3yyXLiBF~oojV7gCgsmUUxNOMox4YSGeo0huy0K4dY4SvPuIZgzbxcxGr8DvNJyIZV3PLFZXMKpwC1yVDPUMvuZr4~Q-BdRXW2WVj1wD5wEB1k9mMX23IbAKrGSsm120tzb1mNWhcnmlYsitBKtj2A10MXg9WedjD6QIPsEARR8jdxU13m7Jm07tYxlAUCjZOhjOmrTiym4c5cbKYeojvXx-qQcDUHQrlNsZ0ycB6wlyGQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=27","El presente trabajo intenta mostrar cómo la teoría sistémica de Niklas Luhmann es una salida útil y novedosa a una serie de problemas aparentemente insolubles para la sociología. Interesa señalar en qué puntos la teoría general de sistemas sociales es novedosa en el contexto de las ciencias sociales y a qué responde esa suerte ""originalidad"". Finalmente, cabe subrayar cómo las reflexiones de Niklas Luhmann no se reducen al ámbito teórico, sino que tienen rendimientos muy importantes a nivel empírico. Interesa discutir por qué Luhmann señala como su punto de partida la crisis de la disciplina sociológica y en qué consiste dicha crisis. Además de ello, se presenta una serie de núcleos relevantes para el desarrollo de la teoría luhmanniana y se aclara cuál es el origen disciplinario de sus conceptos más importantes. La estructura del artículo consta de cinco apartados, en el primero de ellos se exponen los elementos de la crisis de la disciplina sociológica, presentados a manera de obstáculos epistemológicos, de entre los que destaca uno “pensar a la sociedad como un conjunto de hombres o seres humanos”, que en el segundo apartado se discute a detalle y se explica por qué, para Niklas Luhmann, el núcleo de la teoría sociológica no debe ser el hombre y su acción, sino la comunicación, concepto que se amplía y se discute en el apartado tres. Los apartados cuatro y cinco están dedicados a subrayar los conceptos más relevantes de la teoría sistémica luhmanniana y su origen interdisciplinario. El artículo cierra presentando algunos ejemplos de investigaciones empíricas desde la teoría sistémica.","","2024-02-21 21:53:41","2024-02-21T21:53:41Z","","27-46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJ4RXS7W","webpage","2022","Guerra, Lya Sañudo","Del abandono a la permanencia. Estudio desde la teoría general de sistemas. | Profesorado: revista de currículum y formación del profesorado | ebscohost","","","","","https://openurl.ebsco.com/contentitem/doi:10.30827%2Fprofesorado.v26i1.13535?sid=ebsco:plink:crawler&id=ebsco:doi:10.30827%2Fprofesorado.v26i1.13535","","2022","2024-02-21 21:53:00","2024-02-21T21:53:00Z","2024-02-21 03:52:51","","","","","","","DEL ABANDONO A LA PERMANENCIA. ESTUDIO DESDE LA TEORÍA GENERAL DE SISTEMAS. | Profesorado","","","","","","","","","","","","","","ISSN: 1138-414X Issue: 1 Pages: 213 Volume: 26 DOI: 10.30827/profesorado.v26i1.13535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFP65CGC","journalArticle","2021","Pires, Álvaro; Sosoe, Lukas; Amato, Lucas Fucci; Barros, Marco Antonio Loschiavo Leme de; Fonseca, Gabriel Ferreira da","Epistemological and empirical challenges of Niklas Luhmann’s systems theory:</b> an interview with professors Álvaro Pires and Lukas Sosoe","Revista Direito GV","","2317-6172","10.1590/2317-6172202109","https://www.scielo.br/j/rdgv/a/ZkQXDKmq6N8tjVHQqsHQCbK/?lang=en","","2021","2024-02-21 21:52:20","2024-02-21T21:52:20Z","2024-02-20 23:58:06","e2109","","","17","","Rev. direito GV","<b>Epistemological and empirical challenges of Niklas Luhmann’s systems theory","","","","","","","en","","","","","SciELO","","Publisher: Fundação Getulio Vargas, Escola de Direito de São Paulo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BG4XLK5F","bookSection","2023","Buschini, José","Capítulo 13. Niklas Luhmann y la teoría general de los sistemas sociales","Cuestiones de teoría social contemporánea","","","","https://sedici.unlp.edu.ar/bitstream/handle/10915/152206/Documento_completo.pdf?sequence=1","En este capítulo ofrecemos una presentación introductoria de la teoría general de los sistemas sociales elaborada por el sociólogo alemán Niklas Luhmann (1927-1998), con un afán eminentemente pedagógico, vinculado a nuestra práctica docente en la materia obligatoria “Teoría Social Contemporánea ‘A’” y los cursos optativos “Niklas Luhmann: teoría de la sociedad y modernidad” y “Niklas Luhmann y la teoría general de los sistemas sociales”, dictados en el Departamento de Sociología de la Facultad de Humanidades y Ciencias de la Educación de la Universidad Nacional de La Plata.","2023","2024-02-21 21:52:13","2024-02-21T21:52:13Z","2024-02-20 21:27:13","443-471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHQWJPLR","journalArticle","2021","Oliva, Miguel; Chuchco, Nicolás Vladimir; Oliva, Miguel; Chuchco, Nicolás Vladimir","ARS y sistemas sociales: enfoques interdisciplinarios para el análisis de la estructura social","Inter disciplina","","2448-5705","10.22201/ceiich.24485705e.2021.23.77346","http://www.scielo.org.mx/scielo.php?script=sci_abstract&pid=S2448-57052021000100057&lng=es&nrm=iso&tlng=es","","2021","2024-02-21 04:06:48","2024-02-21T04:06:48Z","2024-02-21 04:03:04","57-82","","23","9","","","ARS y sistemas sociales","","","","","","","es","","","","","SciELO","","Publisher: Universidad Nacional Autónoma de México","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8S88HT4J","journalArticle","1999","Viskovatoff, Alex","Foundations of Niklas Luhmann’s Theory of Social Systems","Philosophy of the Social Sciences","","0048-3931","10.1177/004839319902900402","https://doi.org/10.1177/004839319902900402","o De todos los teóricos sociales contemporáneos, Luhmann es el que mejor ha entendido la centralidad del concepto de significado para la teoría social y el que más extensamente ha elaborado las implicaciones de la noción. Sin embargo, a pesar de la fuerza de su teoría, la teoría adolece de dificultades que impiden su recepción. Este artículo intenta remediar esta situación con algunos argumentos críticos y propuestas de revisión. En primer lugar, la teoría que Luhmann adoptó de la biología como base de su propia teoría fue una mala elección, ya que esa teoría no tiene poder explicativo, ya que es puramente descriptiva; Además, esa teoría es fundamentalmente defectuosa, ya que implica que los virus son imposibles. En segundo lugar, la teoría del significado de Luhmann no puede hacer coherentemente que el dominio social sea autónomo como él desea, ya que Luhmann no tiene en cuenta la distinción entre sintaxis y semántica. Al introducir esta distinción, dejando claro que los sistemas sociales consisten en reglas, no sólo en comunicaciones, y elevando el concepto de regla a la misma prominencia en la teoría social que los de actor y sistema, se puede mantener la autonomía evitando los aspectos contraintuitivos de la teoría de Luhmann.","1999","2024-02-21 04:06:28","2024-02-21T04:06:28Z","2024-02-21 04:00:01","481-516","","4","29","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIL4PQYZ","journalArticle","2023","Tapullima Marichi, Wiler","Método sistémico de resolución de problemas y el aprendizaje de la teoría general de sistemas en una universidad privada","","","","","https://hdl.handle.net/20.500.14414/17587","La presente investigación tuvo por objetivo determinar en qué medida la aplicación del método sistémico de resolución de problemas influyó en la mejora del aprendizaje del curso de Teoría General de Sistemas en una universidad privada. El diseño fue preexperimental, se usó la técnica de intervención educativa; como instrumento se utilizó el pre y postest para medir el nivel de aprendizaje en el curso de TGS. La población muestra fue de 40 alumnos de la Escuela de Ingeniería de Sistemas que cursan el tercer ciclo, matriculados en el curso de TGS. Los resultados nos permiten concluir que la aplicación del método sistémico para resolver problemas influyó en el aprendizaje del curso de teoría general de sistemas en los estudiantes universitarios, con lo cual quedó demostrada la hipótesis que nos planteamos en la presente investigación.","2023","2024-02-21 04:06:14","2024-02-21T04:06:14Z","2024-02-21 04:06:14","","","","","","","","","","","","","","spa","","","","","dspace.unitru.edu.pe","","Publisher: Universidad Nacional de Trujillo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGWTCRY4","journalArticle","2021","Ortiz-Ocaña, Alexander","La interacción entre los sistemas vivos, psíquicos y sociales en la teoría sistémica de Niklas Luhmann","Praxis Filosófica","","0120-4688","10.25100/pfilosofica.v0i52.10712","http://www.scielo.org.co/scielo.php?script=sci_abstract&pid=S0120-46882021000100159&lng=en&nrm=iso&tlng=es","","2021","2024-02-21 04:06:08","2024-02-21T04:06:08Z","2024-02-20 21:18:39","159-176","","52","","","","","","","","","","","es","","","","","SciELO","","Publisher: Universidad del Valle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLGU9VT9","journalArticle","2018","Troyo, Rene Moreno Terrazas","Teoría de la complejidad en el análisis de los sistemas sociales","","","","","http://rep.uabcs.mx:80/handle/23080/163","""La teoría de la complejidad es una tendencia actual de la investigación social. Es un enfoque novedoso que ha tenido una aceptación mundial en todos los campos del conocimiento, no sólo en las ciencias de los sociales. De hecho, es en las ciencias naturales donde se han ubicado a sus iniciadores. Físicos, químicos,  matemáticos, biólogos, muchos de ellos filósofos de la ciencia, iniciaron la  construcción de lo que algunos llaman el paradigma de la complejidad. La fuerza de esta perspectiva ha residido en su crítica al modelo mecanicista de la física newtoniana, soporte de la ciencia moderna, y al auge de las teorías cuántica y de la relatividad que se desarrollaron en el siglo XX. El éxito de las posturas que cuestionaron a los fundamentos del conocimiento científico, se filtró a los  estudiosos de las ciencias sociales, que adoptaron estas propuestas de análisis, a sus objetos de investigación. Una de las  nterpretaciones más aceptadas en la investigación global y geopolítica es la de Immanuel Wallerstein, quien ha  enriquecido su metodología análisis de sistemas-mundo con algunos argumentos de la teoría mencionada. En la obra de este sociólogo se encuentran tres grandes líneas de análisis: la historia del sistema-mundo capitalista; los problemas actuales ligados a la utopística de los movimientos anti-sistémicos, y el mundo del saber.""","2018","2024-02-21 04:06:01","2024-02-21T04:06:01Z","2024-02-21 04:03:22","","","","","","","","","","","","","","spa","http://creativecommons.org/licenses/by-nc-nd/4.0","","","","192.100.161.23","","Accepted: 2018-05-22T10:35:56Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
